"2012-10-01","-70","-160","ER_noFetch","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","-150","ER_noFetch","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","-140","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","-130","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","-120","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","-110","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","-100","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","-90","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","-80","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","-70","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","-60","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","-50","ER_noFetch","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","-40","ER_noFetch","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","-30","ER_noFetch","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","-20","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","-10","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","0","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","10","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","20","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","30","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","40","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","50","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","60","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","70","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","80","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","90","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","100","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","110","0","ER_noFetch","ER_noFetch","dummy"
"2012-10-01","-70","120","0","ER_noFetch","ER_noFetch","dummy"
